date,Orange Model - Predicted Wind Power (kWh),Actual Energy created (kWh)
2022-10-15,17486300,43524452
2022-10-16,18784100,52224784
2022-10-17,10520900,29972451
2022-10-18,2392440,9617586
2022-10-19,14763500,38040146
2022-10-20,14109600,34408994
2022-10-21,7726690,14237958
2022-10-22,12429000,30035610
2022-10-23,14322000,30404860
2022-10-24,41200200,89552052
2022-10-25,13889400,37672582
2022-10-26,14735900,33004245
2022-10-27,14493200,23416653
2022-10-28,10674700,25219342
2022-10-29,3775510,6988857
2022-10-30,4821160,6131701
2022-10-31,8231830,17768741
2022-11-01,57619900,108919385
2022-11-02,39714700,99829675
2022-11-03,38899500,80884452
2022-11-04,10780400,16843598
2022-11-05,18545500,52673439
2022-11-06,46444800,106965015
2022-11-07,43164100,103441470
2022-11-08,49604500,88923159
2022-11-09,32764900,85758774
2022-11-10,32038400,78516050
2022-11-11,22495100,58440750
2022-11-12,1979510,1592759
2022-11-13,3510880,9676725
2022-11-14,4989590,26931531
2022-11-15,22435500,46175748
2022-11-16,21363800,49849164
2022-11-17,51502900,107469643
2022-11-18,13733900,53995416
2022-11-19,13590100,50528612
2022-11-20,6433230,15220414
2022-11-21,12041400,30837118
2022-11-22,33009200,64356294
2022-11-23,25401700,69218356
2022-11-24,24337200,58941719
2022-11-25,13471600,36426468
2022-11-26,12534900,27297131
2022-11-27,28336900,54002216
2022-11-28,2489060,14794791
2022-11-29,746000,2606496
2022-11-30,269392,1369340
2022-12-01,4030200,4146212
2022-12-02,17764400,57832145
2022-12-03,20794300,63016503
2022-12-04,20790500,60676870
2022-12-05,13159600,31314100
2022-12-06,7256690,7216930
2022-12-07,15760800,16308729
2022-12-08,4086510,12517681
2022-12-09,622601,6400083
2022-12-10,4348730,14062117
2022-12-11,4647900,9863628
2022-12-12,2773210,2984245
2022-12-13,2484480,4522965
2022-12-14,1044510,2290386
2022-12-15,6612560,17550202
2022-12-16,2442930,5498525
2022-12-17,10385100,35856494
2022-12-18,15126900,36712311
2022-12-19,50775200,106532678
2022-12-20,27221300,73801266
2022-12-21,15429500,38805317
2022-12-22,10798800,22399739
2022-12-23,7224020,24980033
2022-12-24,19040600,44827700
2022-12-25,8005400,14629057
2022-12-26,25443100,71726339
2022-12-27,29188200,76846359
2022-12-28,62617000,127731646
2022-12-29,66959500,123990342
2022-12-30,49984200,108013848
2022-12-31,71901600,105731450
