date,avg_wind_speed_all_stations,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,installed_wind_capacity_mw,predicted_wind_generation_kwh,Actual Energy created (kWh),error_kwh,absolute_error_kwh,percentage_error
2022-05-09,2.4796666666666667,15.24684242662963,0.8542764295823744,-0.5198189895146103,9000,4552863.586948499,2830115,1722748.586948499,1722748.586948499,60.87203477415225
2022-05-10,6.355166666666666,256.6733824170879,-0.6723733765437193,-0.7402121604750882,9000,31074488.54192595,52486957,-21412468.45807405,21412468.45807405,40.79578943407607
2022-05-11,7.35925,398.56638681957816,-0.8569387830679993,-0.5154182011473173,9000,37859245.66659729,75444298,-37585052.33340271,37585052.33340271,49.818280943382504
2022-05-12,5.608833333333333,176.448351555912,-0.9540179545875676,-0.2997494659287218,9000,25145859.27258502,43933410,-18787550.72741498,18787550.72741498,42.76369789509847
2022-05-13,7.3515,397.30852586587497,-0.9140343241008368,-0.4056368503545093,9000,37673840.39722231,71461736,-33787895.60277769,33787895.60277769,47.2811010395517
2022-05-14,3.10825,30.029481042765624,-0.9413008847435764,0.3375687254189291,9000,6629493.383467466,9049569,-2420075.6165325344,2420075.6165325344,26.742440623774836
2022-05-15,4.792916666666667,110.1031221446036,0.9943244809498728,0.1063899740754085,9000,21185202.19857925,27699815,-6514612.801420748,6514612.801420748,23.518614840643334
2022-05-16,5.564916666666666,172.33599493468685,-0.5159960292920277,-0.8565909745933942,9000,25658518.3902884,40965575,-15307056.609711599,15307056.609711599,37.365657896200894
2022-05-17,2.8793333333333333,23.871287039703702,-0.5436849821898039,-0.8392893661552449,9000,6117115.108071446,8769582,-2652466.8919285536,2652466.8919285536,30.246218028733335
2022-05-18,3.653583333333333,48.77048252205265,-0.9700324106981144,-0.2429755588432804,9000,10933220.531788915,9019115,1914105.5317889154,1914105.5317889154,21.222764448495393
2022-05-19,4.170916666666667,72.55954298764526,-0.7696901476545462,-0.6384176349408925,9000,15163484.33146792,18815185,-3651700.668532079,3651700.668532079,19.40826342410175
2022-05-20,4.250416666666667,76.78820533861403,-0.9380565578686244,-0.3464821701612772,9000,15375061.395824209,25280080,-9905018.604175791,9905018.604175791,39.18112048765586
2022-05-21,5.742,189.316978488,-0.9931148438253892,-0.1171448119793299,9000,25947284.78051349,51148820,-25201535.21948651,25201535.21948651,49.27100022930443
2022-05-22,2.4155,14.093573523875005,0.6353288269095215,-0.7722417249137548,9000,3992566.168886021,5488945,-1496378.8311139792,1496378.8311139792,27.26168382292006
2022-05-23,4.10075,68.95882941917186,-0.954705542459981,-0.297552225997712,9000,14239052.260555968,22385333,-8146280.739444032,8146280.739444032,36.39115281172736
2022-05-24,6.462000000000001,269.8366031280001,-0.9037182981151818,-0.42812759505993,9000,31388032.13901977,59256481,-27868448.86098023,27868448.86098023,47.030212376229755
2022-05-25,7.836166666666667,481.1837951570048,-0.7831198435508447,-0.6218708150708638,9000,41363392.354166746,72941083,-31577690.645833254,31577690.645833254,43.292050716923484
2022-05-26,7.789583333333334,472.6532879322194,-0.9409668774432222,-0.3384986492657721,9000,40687349.32078768,79169379,-38482029.67921232,38482029.67921232,48.60721426046845
2022-05-27,7.125,361.705078125,-0.9380883834868192,0.3463959941556575,9000,35586586.595549524,75184752,-39598165.404450476,39598165.404450476,52.667814086093514
2022-05-28,7.175833333333333,369.50220088599536,-0.5362984372097624,0.8440284273923281,9000,36090189.57178894,64283806,-28193616.428211063,28193616.428211063,43.858038567615395
2022-05-29,5.665666666666667,181.86664662862964,-0.1960795187619711,0.9805879982551662,9000,25617044.99015488,32982165,-7365120.009845119,7365120.009845119,22.33061416630812
2022-05-30,2.4346666666666668,14.431734461629633,-0.7784660457452518,0.6276867177356484,9000,1702126.0065205991,2133090,-430963.9934794009,430963.9934794009,20.203741683632707
