date,avg_wind_speed_all_stations,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,installed_wind_capacity_mw,predicted_wind_generation_kwh,Actual Energy created (kWh),error_kwh,absolute_error_kwh,percentage_error
2022-02-04,9.268666666666666,796.2543008376296,-0.9481370273500588,-0.3178618841065946,9000,57736224.04041951,90001481,-32265256.95958049,32265256.95958049,35.84969558398765
2022-02-05,10.18225,1055.6775053201409,-0.928809768487429,-0.3705568970648483,9000,69853482.89957257,92904722,-23051239.100427434,23051239.100427434,24.811698053870106
2022-02-06,11.954583333333334,1708.4541625702404,-0.9935802518636954,-0.1131294970663076,9000,77836051.39097443,110041380,-32205328.609025568,32205328.609025568,29.266561914277673
2022-02-07,8.446666666666667,602.6373816296298,-0.9766562262154452,0.2148083233829754,9000,47902788.024513714,81228181,-33325392.975486286,33325392.975486286,41.02688570052589
2022-02-08,8.528916666666667,620.414034106437,-0.878873071246965,-0.4770556829521341,9000,50882996.11121784,89036038,-38153041.88878216,38153041.88878216,42.85123501203205
2022-02-09,6.862916666666666,323.24080259772853,-0.8147358242100042,-0.5798323350321584,9000,31756305.551021803,58635375,-26879069.448978197,26879069.448978197,45.84104638024093
2022-02-10,5.18825,139.65699215276564,-0.997147343536523,-0.0754796348563992,9000,15993448.76347029,24552536,-8559087.23652971,8559087.23652971,34.86029808297485
2022-02-11,6.5600000000000005,282.30041600000004,-0.8169605074562212,0.5766936181863586,9000,26937492.23190257,55493204,-28555711.76809743,28555711.76809743,51.458033974930395
2022-02-12,6.5592500000000005,282.2036014695782,-0.1085699990179092,-0.9940888065526396,9000,28867587.561443843,54026824,-25159236.438556157,25159236.438556157,46.568046344083
2022-02-13,8.399083333333333,592.5099811742298,-0.1311058098757664,-0.9913683808841288,9000,49000087.975734964,91635032,-42634944.024265036,42634944.024265036,46.52690471507124
2022-02-14,9.443666666666669,842.2130143959631,-0.64316988645534,-0.7657235122137919,9000,58326908.581796736,100724680,-42397771.418203264,42397771.418203264,42.092733794938106
2022-02-15,8.049249999999999,521.5143329589529,-0.7886690559770847,-0.6148179569142511,9000,42803790.95952811,75675931,-32872140.04047189,32872140.04047189,43.43803849664154
2022-02-16,11.638833333333334,1576.6247779284124,-0.8197999888704356,-0.5726499613621165,9000,78496589.1477122,95229705,-16733115.8522878,16733115.8522878,17.571319634233664
2022-02-17,11.8575,1667.168131359375,-0.9980043312050132,-0.063145505746922,9000,77504919.74501306,93011100,-15506180.254986942,15506180.254986942,16.671322299152404
2022-02-18,12.3815,1898.1030453683743,-0.7930839358751898,-0.6091123629156757,9000,82115616.45620805,46476749,35638867.45620805,35638867.45620805,76.68106789527825
2022-02-19,11.264833333333334,1429.4675854512454,-0.9610930311560852,-0.2762248820494058,9000,75255711.4028072,104606406,-29350694.597192794,29350694.597192794,28.058219108677523
2022-02-20,11.877666666666666,1675.688925227296,-0.8494744633031706,-0.5276297339951477,9000,78302580.60099754,91828883,-13526302.399002463,13526302.399002463,14.729899740806454
2022-02-21,12.748333333333331,2071.8591687453704,-0.9705115965682546,0.2410544356085103,9000,85800784.57625371,103750153,-17949368.423746288,17949368.423746288,17.300570557950202
2022-02-22,8.229833333333334,557.4079012358287,-0.9918842358609335,-0.1271442592120142,9000,47881255.78294989,74996977,-27115721.217050113,27115721.217050113,36.155752273921806
2022-02-23,7.495666666666667,421.1441724186296,-0.8075099726036739,-0.5898539176318267,9000,40124211.91202537,66353676,-26229464.08797463,26229464.08797463,39.52978292864231
2022-02-24,9.443166666666666,842.0792472184213,-0.8727255065251223,-0.488211214804073,9000,58502919.59696359,92713781,-34210861.40303641,34210861.40303641,36.89943505058478
2022-02-25,7.991416666666667,510.3537675343016,-0.9617802061899632,0.2738226341652416,9000,40432162.56799337,71625448,-31193285.432006627,31193285.432006627,43.550562409056944
2022-02-26,3.431083333333333,40.39185500272975,0.3239316544777398,-0.9460804845399328,9000,4992804.268100839,6554986,-1562181.731899161,1562181.731899161,23.831961378699525
2022-02-27,5.587166666666667,174.41140475308796,0.7189329793823799,-0.6950793991742055,9000,20088896.993197836,36970179,-16881282.006802164,16881282.006802164,45.66188875310061
2022-02-28,5.2805,147.239773560125,0.3133584663223409,-0.9496349148931448,9000,17853209.068459976,26205947,-8352737.931540024,8352737.931540024,31.873444342767023
