date,avg_wind_speed_all_stations,station_count,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,daily_wind_generation_kwh
2017-01-30,5.779999999999999,5,0.8134263997645185,18.51228418398108,193.10055199999994,0.31750796918690133,0.9482556034650202,17234941
2017-01-31,4.44,5,3.413917312292755,108.31889679208126,87.52838400000002,0.9493218677654717,-0.3143055700783496,3841295
2017-02-01,7.040000000000001,5,6.795913854065881,143.206019424479,348.91366400000015,0.5989394713520014,-0.800794299215838,22442070
2017-02-02,7.12,5,6.98645287714012,157.57894658490727,360.94412800000003,0.38141007636212076,-0.9244059463511911,21694384
2017-02-03,5.92,5,5.307778462901163,165.994555834817,207.474688,0.24201409065616947,-0.9702727348142208,10996842
2017-02-04,4.5,5,1.9909734502602041,150.59373960677027,91.125,0.4909989434036687,-0.8711601675791203,7411872
2017-02-05,3.46,5,1.6208058071861826,37.187797905668845,41.421735999999996,0.6044294667875222,0.7966586594514313,2528074
2017-02-06,2.94,5,1.9052112492478777,86.4214616671519,25.412184,0.9980501782813179,0.06241667751995109,3413354
2017-02-07,6.68,5,6.437097066697957,95.45937205260805,298.07763199999994,0.995463911517233,-0.09513990154930034,31482650
2017-02-08,7.24,5,7.0217484599103335,66.2331115053804,379.50342400000005,0.915192725809916,0.4030164694210597,35230507
2017-02-09,6.94,5,6.805915744078425,73.1017616227399,334.25538400000005,0.95682252156901,0.290672775158461,29807095
2017-02-10,5.84,5,5.653091071429426,73.5010382638182,199.17670399999997,0.9588248813875152,0.28399796976777386,20402507
2017-02-11,6.58,5,6.4055940495176,65.75937293075265,284.890312,0.911829220258789,0.4105696933314111,25056826
2017-02-12,8.6,5,8.467250776052694,82.08098282231879,636.0559999999999,0.9904637891346764,0.13777330079873748,43477105
2017-02-13,9.04,5,8.952854690464683,86.81053427462354,738.7632639999998,0.9984510105242246,0.0556379329518524,41608666
2017-02-14,6.0600000000000005,5,5.788212397134226,108.04076107520916,222.54501600000006,0.9508364363280124,-0.3096935119614964,16408056
2017-02-15,4.76,5,3.9637281310564787,173.63734769185714,107.85017599999999,0.11082113070070503,-0.993840367961685,4558482
2017-02-16,6.94,5,6.701636532710194,230.9168011529239,334.25538400000005,-0.776231310194715,-0.6304482160125414,17247156
2017-02-17,5.12,5,4.7996760989647305,282.4327045033489,134.21772800000002,-0.9765495480379359,0.21529277792555648,15948224
2017-02-18,4.220000000000001,5,3.857076310852401,205.80155870733321,75.15144800000003,-0.43525559200084585,-0.9003069307919346,4033041
2017-02-19,6.76,5,6.416125562130562,236.53572393799413,308.915776,-0.8342297928550817,-0.5514169499688665,18902805
2017-02-20,8.8,5,8.285781731800594,240.9979723253153,681.4720000000002,-0.8746025493734525,-0.48484057238380707,43451963
