date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-05-25,3.41957e+07,7.83617,7.71173,231.547,481.184
2022-05-26,3.09976e+07,7.78958,7.60266,250.215,472.653
2022-05-27,2.57003e+07,7.125,6.99406,290.267,361.705
2022-05-28,2.35572e+07,7.17583,7.02297,327.568,369.502
2022-05-29,1.50072e+07,5.66567,5.56406,348.692,181.867
2022-05-30,709749,2.43467,1.48414,308.88,14.4317
2022-05-31,1.17488e+06,2.72225,1.48259,161.679,20.1736
2022-06-01,5.35839e+06,3.9355,3.11761,288.323,60.9537
2022-06-02,4.30264e+06,3.352,2.30535,5.79878,37.6628
2022-06-03,1.74193e+07,5.60967,5.41692,60.9498,176.527
2022-06-04,2.42036e+07,6.56583,6.52665,52.6157,283.054
2022-06-05,1.34923e+07,5.39075,3.04135,50.2296,156.656
2022-06-06,2.55145e+07,7.39758,7.06616,248.201,404.827
2022-06-07,1.31749e+07,5.56542,5.13721,258.318,172.382
2022-06-08,8.09435e+06,4.91367,4.26053,212.738,118.636
2022-06-09,9.83119e+06,4.89217,4.36886,258.463,117.086
2022-06-10,1.31713e+07,5.69317,5.49595,223.37,184.528
2022-06-11,1.81077e+07,5.762,5.59319,241.836,191.302
2022-06-12,9.72771e+06,4.71033,4.52418,260.601,104.509
2022-06-13,1.02444e+07,4.84908,4.60662,300.68,114.019
2022-06-14,2.60607e+06,3.16458,1.01084,328.406,31.692
2022-06-15,5.0002e+06,3.68008,3.25072,52.9504,49.8394
2022-06-16,529239,2.04692,1.04318,62.5799,8.57631
2022-06-17,7.80535e+06,4.78225,4.2375,203.275,109.37
2022-06-18,8.42925e+06,4.6595,3.48832,357.656,101.162
2022-06-19,1.09095e+07,5.3755,4.96774,6.56699,155.33
2022-06-20,1.01144e+07,4.93767,4.64703,343.804,120.383
2022-06-21,1.05101e+06,2.64817,1.42265,7.41156,18.571
2022-06-22,4.23326e+06,3.53475,3.27388,32.4144,44.1648
2022-06-23,2.72746e+06,3.4535,1.73026,92.871,41.1887
2022-06-24,2.59941e+06,3.44375,2.56792,237.334,40.8409
2022-06-25,4.08706e+06,3.84333,2.35928,209.809,56.7707
2022-06-26,3.70568e+06,3.675,3.01637,209.549,49.6332
2022-06-27,1.85425e+06,2.9135,1.98246,232.235,24.7312
2022-06-28,1.71702e+06,3.26192,1.81248,209.995,34.7071
2022-06-29,2.87151e+06,3.5155,0.843725,103.138,43.4472
2022-06-30,7.19998e+06,4.11417,2.69465,270.826,69.6379
2022-07-01,1.71704e+07,6.08708,5.98924,231.132,225.542
2022-07-02,6.04396e+06,4.40083,3.95114,217.563,85.2324
2022-07-03,6.06191e+06,4.24825,3.9769,259.409,76.6708
