date,avg_wind_speed_all_stations,station_count,hourly_record_count,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos
2022-01-16,5.9087499999999995,5,120,5.25244694507951,269.6920200889044,206.29411832617183,-0.9999855533060523,-0.005375237593663076
2022-01-17,5.735166666666667,5,120,5.344365884010175,303.5345267706171,188.64188596542135,-0.833553070237567,0.5524393895238877
2022-01-18,3.1001666666666665,5,120,2.538643682762566,236.84017918343585,29.795805258337957,-0.8371480913435004,-0.5469763003640417
2022-01-19,6.277416666666666,5,120,4.109392410142561,270.70983943691226,247.36763011359315,-0.9999232568833432,0.012388718408604898
2022-01-20,8.939166666666667,5,120,8.796137545426573,338.64742021140034,714.3171936244214,-0.36410608152019314,0.9313574831395357
2022-01-21,6.3780833333333335,5,120,6.0989203127701614,318.48773364985925,259.4600920058756,-0.6627803756093449,0.7488138444948356
2022-01-22,4.03025,5,120,3.947972240065634,299.0139103921064,65.46300843064061,-0.8745019782458155,0.4850219480025159
2022-01-23,2.1747500000000004,5,120,1.7733483608938732,216.16005955904038,10.285561814046881,-0.5900429984279028,-0.8073718226481588
2022-01-24,1.8696666666666668,5,120,1.1691975161253667,164.1384842340567,6.535706723296298,0.2733131778152422,-0.9619251045858683
2022-01-25,1.8619166666666667,5,120,1.0457154538089048,202.5083416615913,6.454769205791088,-0.3828179354309892,-0.9238238080458605
2022-01-26,5.624583333333334,5,120,5.268740145424026,247.84520357776114,177.9389677733652,-0.9261683945947042,-0.3771102025321886
2022-01-27,8.941416666666667,5,120,7.837008567545628,275.54273462157227,714.8567131290932,-0.9953244340022279,0.09658815185179127
2022-01-28,5.992500000000001,5,120,4.616372984465212,268.45205346229955,215.19101207812506,-0.9996350694367199,-0.027013477233489642
2022-01-29,10.048666666666666,5,120,9.2893030779962,265.6881183273177,1014.6711685976294,-0.9971695634220391,-0.07518551579060959
2022-01-30,6.799083333333333,5,120,5.230512719999405,289.46870954149983,314.30485714089633,-0.9428236496234268,0.33329201267171366
2022-01-31,12.560666666666666,5,120,11.149224659174614,310.33156944439645,1981.7007399469628,-0.7623118387599322,0.6472099045027441
2022-02-01,9.219166666666666,5,120,8.697220011588552,282.5742218553979,783.5649462077546,-0.9760148087507311,0.21770414120836987
2022-02-02,5.940250000000001,5,120,5.250457108019686,281.61508033274146,209.6110478137657,-0.9795222916677689,0.20133573981268757
2022-02-03,6.603166666666667,5,120,6.4841629620054855,227.26164093153656,287.9100185817546,-0.7344604079796753,-0.6786515373226005
2022-02-04,9.268666666666666,5,120,7.763900572643028,251.4663301275911,796.2543008376296,-0.9481370273500587,-0.3178618841065946
2022-02-05,10.18225,5,120,9.641707269412903,248.25003333860337,1055.6775053201407,-0.928809768487429,-0.37055689706484835
2022-02-06,11.954583333333334,5,120,10.876878116200707,263.5042509638425,1708.4541625702404,-0.9935802518636954,-0.11312949706630764
2022-02-07,8.446666666666667,5,120,7.0968353987842026,282.40428230590044,602.6373816296298,-0.9766562262154453,0.2148083233829754
2022-02-08,8.528916666666667,5,120,8.469082526729016,241.50672006332988,620.414034106437,-0.878873071246965,-0.4770556829521341
2022-02-09,6.862916666666666,5,120,6.741986480939417,234.56124915687155,323.24080259772853,-0.8147358242100042,-0.5798323350321584
2022-02-10,5.18825,5,120,4.822504716291802,265.67121852472053,139.65699215276564,-0.997147343536523,-0.07547963485639926
2022-02-11,6.5600000000000005,5,120,5.407085814304026,305.2183237905545,282.30041600000004,-0.8169605074562212,0.5766936181863586
2022-02-12,6.5592500000000005,5,120,6.507916579789773,186.23288884264906,282.2036014695782,-0.10856999901790929,-0.9940888065526395
2022-02-13,8.399083333333333,5,120,8.32874538582381,187.53349750117664,592.5099811742298,-0.13110580987576648,-0.9913683808841289
2022-02-14,9.443666666666667,5,120,8.785374186007889,220.02859812405293,842.2130143959631,-0.64316988645534,-0.7657235122137919
2022-02-15,8.049249999999999,5,120,7.5254209579979765,232.06130609399625,521.5143329589529,-0.7886690559770847,-0.6148179569142511
2022-02-16,11.638833333333334,5,120,11.264845692560112,235.06477688176582,1576.6247779284124,-0.8197999888704356,-0.5726499613621165
2022-02-17,11.8575,5,120,11.763291785499693,266.37962034534314,1667.168131359375,-0.9980043312050131,-0.06314550574692203
2022-02-18,12.381499999999999,5,120,11.03033435427721,232.47465133764737,1898.1030453683745,-0.7930839358751898,-0.6091123629156757
